RUBRO,SUBRUBRO,MARCA,Rubro,Subrubro,,Orden,Codigo,Nombre,Precio,Unidad por bulto fact.,Texto,
MATERIALES GRUESOS            ,WEBER     -PEGAMENTO          ,WEBER,17,1652,17.1652,2,15314,WEBER.TEC REFRACTARIO X  5 KGS (PEGAMENTO)        ,68.55,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PEGAMENTO          ,WEBER,17,1652,17.1652,3,19938,WEBER.TEC REFRACTARIO X 20 KGS (PEGAMENTO)        ,236.06,1,UNI,1
MATERIALES GRUESOS            ,TANDILIA  -ARCILLA REFRACTARIA,TANDILIA,17,973,17.0973,1,2435,ARCILLA REFRACTARIA X 10 KGS                      ,18.85,1,UNI,1
MATERIALES GRUESOS            ,TANDILIA  -ARCILLA REFRACTARIA,TANDILIA,17,973,17.0973,2,14987,ARCILLA REFRACTARIA X 40 KGS                      ,62.33,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,3,21733,BALDOSA REFRACTARIA 30X30X5                       ,78.83,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,4,2431,CANTO REDONDO PLANO REFRAC N 15 22X11X6           ,26.88,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,6,4700,CEMENTO REFRACTARIO X  5 KGS                      ,39.02,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,7,2436,CEMENTO REFRACTARIO X 10 KGS                      ,69.88,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,8,2429,ESQUINERO CANTO REDONDO REFRAC N 11 22X11X2.5 (16M,9.64,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,9,2424,LADRILLO REFRACTARIO N 1 (40 M2) 22.8X11.4X6.3    ,16.94,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,10,2428,LISTON REFRACTARIO N 9 (75 M2) 22X6X2.2           ,2.88,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,11,2427,MEDIO CANTO REDONDO REFRACTARIO N 8 22X6X6 (75 M2),13.8,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,12,2430,MEDIO ESQUINERO REFRACTARIO N 14 15.0X6X2.5       ,8.66,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,13,2433,PROLONGACION LATERAL REFRAC N 17                  ,15.88,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,14,2432,TEJUELA CANTO REDOND PLANO REF N 16 22X11X3.2     ,16.27,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,15,12620,TEJUELA REFRACTARIA N 4 (40 X M2) 22.8X11.4X3     ,9.46,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,16,2425,TEJUELA REFRACTARIA N 5 (40 X M2) 22.8X11.4X2     ,6.97,1,UNI,1
MATERIALES GRUESOS            ,FARA      -REFRACTARIOS       ,FARA,17,146,17.0146,17,13240,PIZZERA SET PLACA C/PALA DE MADERA                ,171.22,1,UNI,1
MATERIALES GRUESOS            ,FARA - ARCILLA REFRACTARIA    ,FARA,17,2226,17.2226,1,19722,ARCILLA REFRACTARIA FARA X  5 KGS                 ,24.48,1,UNI,1
MATERIALES GRUESOS            ,FARA - ARCILLA REFRACTARIA    ,FARA,17,2226,17.2226,2,22009,ARCILLA REFRACTARIA FARA X 30 KGS                 ,104.19,1,UNI,1
MATERIALES GRUESOS            ,LAS 3 L   -LADRILLOS COMUNES  ,LAS 3 L,17,488,17.0488,10,5470,LADRILLO COMUN                                    ,1.56,1,UNI,1
MATERIALES GRUESOS            ,LAS 3 L   -LADRILLOS COMUNES  ,LAS 3 L,17,488,17.0488,20,5538,LADRILLON                                         ,2.77,1,UNI,1
MATERIALES GRUESOS            ,LAS 3 L   -LADRILLOS VISTA    ,LAS 3 L,17,1661,17.1661,1,20656,LADRILLO VISTA 23.50X11X5                         ,2.6,1,UNI,1
MATERIALES GRUESOS            ,LAS 3 L   -LADRILLOS VISTA    ,LAS 3 L,17,1661,17.1661,2,23075,LADRILLO VISTA DOBLE CARA                         ,1.4,1,UNI,1
MATERIALES GRUESOS            ,LAS 3 L   -LADRILLOS VISTA    ,LAS 3 L,17,1661,17.1661,3,20657,LISTON LISO 22.5X5.5X2 CM (50 U X M2-JUNTA 15 MM) ,2.08,1,UNI,1
MATERIALES GRUESOS            ,LOIMAR    -LADRILLOS HUECOS   ,LOIMAR,17,167,17.0167,2,2568,LADRILLO DE TECHO LOIMAR                          ,12.85,1,UNI,1
MATERIALES GRUESOS            ,LOIMAR    -LADRILLOS HUECOS   ,LOIMAR,17,167,17.0167,3,10733,LADRILLO ENCOCER 'U' LOIMAR                       ,12.97,1,UNI,1
MATERIALES GRUESOS            ,LOIMAR    -LADRILLOS HUECOS   ,LOIMAR,17,1108,17.1108,1,2564,LADRILLO HUECO  8X18X33 LOIMAR (6 AGUJEROS)       ,4.75,1,UNI,1
MATERIALES GRUESOS            ,LOIMAR    -LADRILLOS HUECOS   ,LOIMAR,17,1108,17.1108,2,2565,LADRILLO HUECO 12X18X33 LOIMAR (9 AGUJEROS)       ,6.34,1,UNI,1
MATERIALES GRUESOS            ,LOIMAR    -LADRILLOS HUECOS   ,LOIMAR,17,1108,17.1108,3,2566,LADRILLO HUECO 18X18X33 LOIMAR (12 AGUJEROS)      ,8.85,1,UNI,1
MATERIALES GRUESOS            ,LOIMAR    -LADRILLOS HUECOS   ,LOIMAR,17,1108,17.1108,4,2567,LADRILLO HUECO 18X18X33 DOBLE MURO LOIMAR         ,10.29,1,UNI,1
