"RUBRO","SUBRUBRO","MARCA","Rubro","Subrubro",,"Orden","Codigo","Nombre","Precio","Unidad por bulto fact.","Texto",
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",16,1969,"BARRA ANGULO  2X 3/16                             ","205.64","22.9","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",17,1970,"BARRA ANGULO  2X1/4                               ","278.96","29.5","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",18,26806,"BARRA ANGULO 2 1/4X1/4                            ","313.62",33,"UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",20,1972,"BARRA ANGULO 2 1/2X1/4                            ","354.61","37.5","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",21,1971,"BARRA ANGULO 2 1/2X3/16 (6 MTS)                   ","276.12","29.2","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",23,25280,"BARRA ANGULO 2 1/2X3/16 (12 MTS)                  ","552.24","58.4","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",24,23729,"BARRA ANGULO 3 1/2X5/16 ( 6 MTS)                  ","722.77","66.5","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",25,15414,"BARRA ANGULO 3 1/2X5/16 (12 MTS)                  ","1380.33",127,"UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",26,11353,"BARRA ANGULO 3X 5/16 (12 MTS)                     ","1156.09",111,"UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",27,25688,"BARRA ANGULO 3X1/4 (6 MTS)                        ",486,48,"UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",28,11365,"BARRA ANGULO 3X1/4 (12 MTS)                       ","972.01",96,"UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",29,10977,"BARRA ANGULO 4X 3/8 (12MTS)                       ","1728.02",174,"UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",30,14740,"BARRA ANGULO 4X1/2 (12 MTS)                       ","2312.34","237.19","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",31,13441,"KG HIERRO ANGULO      1/2X1/8                     ","11.67",1,"UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",32,13829,"KG HIERRO ANGULO      5/8X1/8                     ","11.46",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",33,13830,"KG HIERRO ANGULO     3/4X1/8                      ","10.85",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",34,13831,"KG HIERRO ANGULO     7/8X1/8                      ","10.75",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",35,13757,"KG HIERRO ANGULO    1X1/8                         ","9.86",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",36,13762,"KG HIERRO ANGULO    1X3/16                        ","9.69",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",37,13758,"KG HIERRO ANGULO   1 1/4X1/8                      ","9.86",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",38,13763,"KG HIERRO ANGULO   1 1/4X3/16                     ","9.97",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",39,13759,"KG HIERRO ANGULO   1 1\2X   1/8                   ","9.86",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",40,13764,"KG HIERRO ANGULO   1 1\2X   3/16                  ","9.07",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",41,13768,"KG HIERRO ANGULO   1 1\2X  1/4                    ","9.46",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",42,13760,"KG HIERRO ANGULO   1 3/4X1/8                      ","10.03",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",43,13765,"KG HIERRO ANGULO   1 3/4X3/16                     ","9.46",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",44,13769,"KG HIERRO ANGULO  2X1/4                           ","9.46",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",45,13761,"KG HIERRO ANGULO  2X1/8                           ","10.03",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",46,13766,"KG HIERRO ANGULO  2X3/16                          ","8.98",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",47,13767,"KG HIERRO ANGULO 2 1\2X 3/16                      ","9.46",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",48,13771,"KG HIERRO ANGULO 2 1\2X1/4                        ","9.46",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",49,24461,"KG HIERRO ANGULO 3 1/2X5/16                       ","10.87",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",50,14742,"KG HIERRO ANGULO 3X1/4                            ","10.12",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",51,14741,"KG HIERRO ANGULO 3X5/16                           ","10.42",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",52,10976,"KG HIERRO ANGULO 4X 3/8                           ","9.93",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",53,14744,"KG HIERRO ANGULO 4X1/2                            ","9.75",1,"KGR",1
"METALURGIA, ACINDAR           ","IVANAR - PLANCHUELA           ","IVANAR",1,2317,"1.2317",1,26795,"BARRA PLANCHUELA 3X    1/8                        ","153.94","11.64","UNI",1
"METALURGIA, ACINDAR           ","IVANAR - PLANCHUELA           ","IVANAR",1,2317,"1.2317",2,26796,"BARRA PLANCHUELA 4X    1/8                        ","201.56","15.24","UNI",1
"METALURGIA, ACINDAR           ","IVANAR - PLANCHUELA           ","IVANAR",1,2317,"1.2317",3,26800,"BARRA PLANCHUELA 5X   1/8                         ","253.66","19.18","UNI",1
"METALURGIA, ACINDAR           ","IVANAR - PLANCHUELA           ","IVANAR",1,2317,"1.2317",4,26799,"BARRA PLANCHUELA 6X   1/8                         ","287.79","21.76","UNI",1
"METALURGIA, ACINDAR           ","IVANAR - PLANCHUELA           ","IVANAR",1,2317,"1.2317",5,26801,"KG HIERRO PLANCHUELA 3X     1/8                   ","13.23",1,"KGR",1
"METALURGIA, ACINDAR           ","IVANAR - PLANCHUELA           ","IVANAR",1,2317,"1.2317",6,26802,"KG HIERRO PLANCHUELA 4X    1/8                    ","13.23",1,"KGR",1
"METALURGIA, ACINDAR           ","IVANAR - PLANCHUELA           ","IVANAR",1,2317,"1.2317",7,26797,"KG HIERRO PLANCHUELA 5X   1/8                     ","13.23",1,"KGR",1
"METALURGIA, ACINDAR           ","IVANAR - PLANCHUELA           ","IVANAR",1,2317,"1.2317",8,26798,"KG HIERRO PLANCHUELA 6X   1/8                     ","13.23",1,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",1,1982,"BARRA PLANCHUELA      1/2X 1/8                    ","25.07",2,"UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",2,1986,"BARRA PLANCHUELA      1/2X 3/16                   ","33.02","2.9","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",3,12052,"BARRA PLANCHUELA      1/2X1/4                     ","42.06","3.8","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",4,1983,"BARRA PLANCHUELA      5/8X 1/8                    ","28.15","2.4","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",5,1987,"BARRA PLANCHUELA      5/8X 3/16                   ","40.18","3.7","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",6,21552,"BARRA PLANCHUELA      5/8X1/4                     ","51.8","4.9","KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",7,1984,"BARRA PLANCHUELA     3/4X  1/8                    ","35.65","3.1","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",8,1988,"BARRA PLANCHUELA     3/4X  3/16                   ","42.38","4.6","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",9,6363,"BARRA PLANCHUELA     3/4X 1/4                     ","55.97","5.8","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",10,11134,"BARRA PLANCHUELA     3/4X 5/16                    ","64.99","6.9","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",11,4518,"BARRA PLANCHUELA     7/8X 1/8                     ","38.37","3.5","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",12,1903,"BARRA PLANCHUELA     7/8X 3/16                    ","49.87","5.2","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",13,21553,"BARRA PLANCHUELA     7/8X1/4                      ","64.29","6.9","KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",14,1985,"BARRA PLANCHUELA   1X   1/8                       ","41.61","4.2","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",15,1974,"BARRA PLANCHUELA   1X   3/16                      ","57.27","6.2","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",16,1978,"BARRA PLANCHUELA   1X  1/4                        ","74.81","8.1","UNI",1
